Commune;nbr
Grigny 91350; 3 960
Groslay 95410;  850
Gros-Morne 97213; 1 740
Gruissan 11430;  750
Guebwiller 68500; 1 340
Guémené-Penfao 44290;  550
Guénange 57310;  700
Guer 56380;  500
Guérande 44350; 1 470
Guéret 23000; 1 500
Gueugnon 71130;  560
Guichen 35580;  820
Guidel 56520;  890
Guilers 29820;  600
Guilherand-Granges 07500;  840
Guînes 62340;  700
Guingamp 22200; 1 270
Guipavas 29490; 1 190
Guipry-Messac 35480;  700
Guise 02120;  760
Gujan-Mestras 33470; 2 050
Guyancourt 78280; 2 750
Habsheim 68440;  430
Hagondange 57300;  950
Haguenau 67500; 3 800
Haillicourt 62940;  710
Halluin 59250; 2 240
Harfleur 76700; 1 280
Harnes 62440; 1 710
Hasparren 64240;  640
Haubourdin 59320; 1 760
Haute-Goulaine 44115;  380
Hautmont 59330; 2 600
Hauts de Bienne 39400;  650
Hayange 57240; 1 720
Hazebrouck 59190; 2 100
Heillecourt 54180;  300
Hem 59510; 2 170
Hendaye 64700; 1 940
Hénin-Beaumont 62110; 4 120
Hennebont 56700; 1 720
Herbignac 44410;  600
Herblay 95220; 3 170
Héric 44810;  470
Héricourt 70400; 1 230
Hérouville-Saint-Clair 14200; 3 290
Hersin-Coupigny 62530;  710
Hettange-Grande 57330;  400
Hirson 02500; 1 550
Hoenheim 67800; 1 180
Hombourg-Haut 57470;  680
Homécourt 54310;  800
Honfleur 14600;  920
Horbourg-Wihr 68180;  460
Houdain 62150;  850
Houilles 78800; 2 920
Houplines 59116;  800
Huningue 68330;  820
Hyères 83400; 6 420
Idron 64320;  370
Ifs 14123; 1 210
Igny 91430;  590
Ille-sur-Têt 66130; 1 090
Illkirch-Graffenstaden 67400; 2 770
Illzach 68110; 2 010
Ingré 45140; 1 000
Inzinzac-Lochrist 56650;  600
Irigny 69540;  760
Isbergues 62330;  920
Isle 87170;  620
Issoire 63500; 1 770
Issoudun 36100; 1 320
Issy-les-Moulineaux 92130; 5 660
Istres 13800; 5 150
Itteville 91760;  380
Ivry-sur-Seine 94200; 8 500
Izon 33450;  580
Jacou 34830;  580
Janzé 35150;  650
Jarny 54800;  860
Jarville-la-Malgrange 54140; 1 440
Jassans-Riottier 01480;  530
Jaunay-Clan 86130;  640
Jeumont 59460; 1 600
Joeuf 54240;  860
Joigny 89300; 1 470
Joinville-le-Pont 94340; 1 720
Jonage 69330;  410
Jonquières 84150;  550
Jouars-Pontchartrain 78760;  310
Joué-lès-Tours 37300; 4 490
Jouy-en-Josas 78350;  350
Jouy-le-Moutier 95280; 1 610
Jurançon 64110;  740
Juvignac 34990; 1 890
Juvisy-sur-Orge 91260; 2 160
Kembs 68680;  490
Kervignac 56700;  490
Kingersheim 68260; 1 400
Kourou 97310; 4 230
L' Île-d'Yeu 85350;  380
La Balme-de-Sillingy 74330;  430
La Bassée 59480;  820
La Baule-Escoublac 44500; 1 500
La Bouilladisse 13720;  480
La Cadière-d'Azur 83740;  410
La Celle-Saint-Cloud 78170; 1 660
La Chapelle-Basse-Mer 44450;  530
La Chapelle-d'Armentières 59930;  770
La Chapelle-Saint-Luc 10600; 2 260
La Chapelle-Saint-Mesmin 45380; 1 070
La Chapelle-sur-Erdre 44240; 1 490
La Charité-sur-Loire 58400;  460
La Chevrolière 44118;  460
La Ciotat 13600; 4 720
La Colle-sur-Loup 06480;  670
La Côte-Saint-André 38260;  540
La Courneuve 93120; 6 060
La Couronne 16400;  990
La Crau 83260; 1 520
La Crèche 79260;  420
La Fare-les-Oliviers 13580;  700
La Farlède 83210;  780
La Ferrière 85280;  400
La Ferté-Bernard 72400; 1 000
La Ferté-Macé 61600;  570
La Ferté-Saint-Aubin 45240;  570
La Ferté-sous-Jouarre 77260; 1 180
La Flèche 72200; 1 510
La Garde 83130; 2 410
La Garenne-Colombes 92250; 2 300
La Garnache 85710;  490
La Gaude 06610;  510
La Gorgue 59253;  520
La Grand-Combe 30110; 1 200
La Grand-Croix 42320;  590
La Grande-Motte 34280; 1 560
La Hague 50440;  660
La Londe-les-Maures 83250; 1 080
La Madeleine 59110; 2 500
La Mézière 35520;  380
La Montagne 44620;  550
La Motte-Servolex 73290;  800
La Mulatière 69350;  790
La Mure 38350;  400
La Penne-sur-Huveaune 13821;  570
La Plaine-des-Palmistes 97431; 1 710
La Possession 97419; 7 580
La Queue-en-Brie 94510;  980
La Ravoire 73490;  850
La Ricamarie 42150; 1 340
La Riche 37520; 1 360
La Rochelle 17000; 11 240
La Roche-sur-Foron 74800;  970
La Roche-sur-Yon 85000; 6 770
La Roque-d'Anthéron 13640;  570
La Roquette-sur-Siagne 06550;  480
